doc_id,sentence_id,token_id,token,lemma,pos,entity
text1,1,1,The,the,DET,
text1,1,2,social,social,ADJ,
text1,1,3,-,-,PUNCT,
text1,1,4,ecological,ecological,ADJ,
text1,1,5,systems,system,NOUN,
text1,1,6,framework,framework,NOUN,
text1,1,7,was,be,AUX,
text1,1,8,designed,design,VERB,
text1,1,9,to,to,PART,
text1,1,10,provide,provide,VERB,
text1,1,11,a,a,DET,
text1,1,12,common,common,ADJ,
text1,1,13,research,research,NOUN,
text1,1,14,tool,tool,NOUN,
text1,1,15,for,for,ADP,
text1,1,16,interdisciplinary,interdisciplinary,ADJ,
text1,1,17,investigations,investigation,NOUN,
text1,1,18,of,of,ADP,
text1,1,19,social,social,ADJ,
text1,1,20,-,-,PUNCT,
text1,1,21,ecological,ecological,ADJ,
text1,1,22,systems,system,NOUN,
text1,1,23,.,.,PUNCT,
text1,2,1,However,however,ADV,
text1,2,2,",",",",PUNCT,
text1,2,3,its,its,PRON,
text1,2,4,origin,origin,NOUN,
text1,2,5,in,in,ADP,
text1,2,6,institutional,institutional,ADJ,
text1,2,7,studies,study,NOUN,
text1,2,8,of,of,ADP,
text1,2,9,the,the,DET,
text1,2,10,commons,common,NOUN,
text1,2,11,belies,belie,VERB,
text1,2,12,its,its,PRON,
text1,2,13,interdisciplinary,interdisciplinary,ADJ,
text1,2,14,ambitions,ambition,NOUN,
text1,2,15,and,and,CCONJ,
text1,2,16,highlights,highlight,VERB,
text1,2,17,its,its,PRON,
text1,2,18,relatively,relatively,ADV,
text1,2,19,limited,limited,ADJ,
text1,2,20,attention,attention,NOUN,
text1,2,21,to,to,ADP,
text1,2,22,ecology,ecology,NOUN,
text1,2,23,and,and,CCONJ,
text1,2,24,natural,natural,ADJ,
text1,2,25,scientific,scientific,ADJ,
text1,2,26,knowledge,knowledge,NOUN,
text1,2,27,.,.,PUNCT,
text1,3,1,This,this,DET,
text1,3,2,paper,paper,NOUN,
text1,3,3,considers,consider,VERB,
text1,3,4,the,the,DET,
text1,3,5,biophysical,biophysical,ADJ,
text1,3,6,components,component,NOUN,
text1,3,7,of,of,ADP,
text1,3,8,the,the,DET,
text1,3,9,framework,framework,NOUN,
text1,3,10,and,and,CCONJ,
text1,3,11,its,its,PRON,
text1,3,12,epistemological,epistemological,ADJ,
text1,3,13,foundations,foundation,NOUN,
text1,3,14,as,as,SCONJ,
text1,3,15,it,it,PRON,
text1,3,16,relates,relate,VERB,
text1,3,17,to,to,ADP,
text1,3,18,the,the,DET,
text1,3,19,incorporation,incorporation,NOUN,
text1,3,20,of,of,ADP,
text1,3,21,knowledge,knowledge,NOUN,
text1,3,22,from,from,ADP,
text1,3,23,the,the,DET,
text1,3,24,natural,natural,ADJ,
text1,3,25,sciences,science,NOUN,
text1,3,26,.,.,PUNCT,
text1,4,1,It,it,PRON,
text1,4,2,finds,find,VERB,
text1,4,3,that,that,SCONJ,
text1,4,4,the,the,DET,
text1,4,5,mixture,mixture,NOUN,
text1,4,6,of,of,ADP,
text1,4,7,inductive,inductive,ADJ,
text1,4,8,and,and,CCONJ,
text1,4,9,deductive,deductive,ADJ,
text1,4,10,reasoning,reasoning,NOUN,
text1,4,11,associated,associate,VERB,
text1,4,12,with,with,ADP,
text1,4,13,socially,socially,ADV,
text1,4,14,-,-,PUNCT,
text1,4,15,oriented,orient,VERB,
text1,4,16,investigations,investigation,NOUN,
text1,4,17,of,of,ADP,
text1,4,18,these,these,DET,
text1,4,19,systems,system,NOUN,
text1,4,20,is,be,AUX,
text1,4,21,lacking,lack,VERB,
text1,4,22,on,on,ADP,
text1,4,23,the,the,DET,
text1,4,24,ecological,ecological,ADJ,
text1,4,25,side,side,NOUN,
text1,4,26,",",",",PUNCT,
text1,4,27,which,which,PRON,
text1,4,28,relies,rely,VERB,
text1,4,29,upon,upon,SCONJ,
text1,4,30,induction,induction,NOUN,
text1,4,31,alone,alone,ADV,
text1,4,32,.,.,PUNCT,
text1,5,1,As,as,ADP,
text1,5,2,a,a,DET,
text1,5,3,result,result,NOUN,
text1,5,4,the,the,DET,
text1,5,5,paper,paper,NOUN,
text1,5,6,proposes,propose,VERB,
text1,5,7,the,the,DET,
text1,5,8,addition,addition,NOUN,
text1,5,9,of,of,ADP,
text1,5,10,a,a,DET,
text1,5,11,seventh,seventh,ADJ,ORDINAL_B
text1,5,12,core,core,NOUN,
