topics,Griffiths2004,CaoJuan2009,Arun2010,Deveaud2014
40,-880472.0346065472,0.04628658711961871,2104.30925498316,2.011029145719223
35,-878438.3903990865,0.0425315726367023,2148.4211405176106,2.087336796668001
30,-888312.6645035174,0.055302419931709715,2259.031611418641,2.123400335132336
25,-893351.6386490416,0.04772694020179187,2331.995029874543,2.2234820693649433
20,-904318.0411481464,0.063561185520659,2482.6220264176773,2.260389660891474
18,-907172.0929159411,0.06455088313392995,2537.455812986582,2.2912051938914564
16,-911323.5298793401,0.06921917583251481,2611.855355175272,2.321565088135544
14,-916486.2130539266,0.06709191823868904,2674.5362969688686,2.351557640218954
12,-930580.8079268467,0.08727515066422693,2789.8458714334884,2.3192502461924747
10,-937743.5102850095,0.10380808801842721,2914.265478076177,2.325212130916582
9,-945578.4611248514,0.08986209917856781,2953.8856173996774,2.3977845188910036
8,-960654.4966415719,0.09384477571453596,3024.7688512086415,2.3985048519603303
7,-967702.3170605599,0.11716865906877735,3119.7248139241524,2.369255583543732
6,-979727.6533491084,0.13490598780912275,3218.3881899717117,2.345340708140124
5,-993572.9920272159,0.18196940903007333,3358.744407605572,2.2213715656769963
4,-1011865.1110235822,0.2362151248492865,3506.1260524667664,2.1747679321173163
3,-1037323.6463132355,0.2284918114125387,3660.327714678903,2.2571503539842657
2,-1076376.180347209,0.29897952959568014,3910.7888123980656,2.158416378279137
