topic,term,prob
topic 1,change,0.010016931633641203
topic 1,conclude,4.5684527919859214e-4
topic 1,coupled,2.26242824171972e-4
topic 1,coupling,2.5022352158789976e-4
topic 1,crucial,3.149803675832917e-4
topic 1,cultural,0.001014753838431216
topic 1,current,0.0015096869669697357
topic 1,decline,6.086766321523886e-4
topic 1,demonstrate,3.0762876532270045e-4
topic 1,ecological,0.009338090865997616
topic 1,ecosystem,0.006998826143090388
topic 1,elsevi,0.0012016331317123978
topic 1,environmental,0.001933189648749083
topic 1,food,1.7652255261824693e-4
topic 1,functional,6.441060261544363e-4
topic 1,generation,2.2956438340196637e-4
topic 1,global,9.096108409647167e-4
topic 1,highlight,0.0010438535786376811
topic 1,human,0.003502345788500582
topic 1,impact,0.0029063723588512542
topic 1,include,0.0024672836536864867
topic 1,income,7.159835946006663e-4
topic 1,issue,5.895702419255499e-4
topic 1,lack,2.0301011742226337e-4
topic 1,light,1.0468977340005786e-4
topic 1,local,0.002508812620852697
topic 1,meadow,3.668451287834145e-4
topic 1,multi,1.8064887700465824e-4
topic 1,pattern,0.002379891588657757
topic 1,people,5.232804399608751e-4
topic 1,provide,0.003830951104135161
topic 1,relationship,0.0012190991064602713
topic 1,repeat,2.2653228281371496e-4
topic 1,reserve,0.0019353412608426803
topic 1,resilience,0.0011003848587951704
topic 1,resource,0.0043099399687573856
topic 1,reveal,5.965740136045236e-4
topic 1,role,6.245199860973256e-4
topic 1,scale,0.0020828214849798288
topic 1,security,1.928979059262123e-4
topic 1,social,0.008769518821283032
topic 1,source,0.0013690676683959346
topic 1,study,0.00679933808618148
topic 1,support,0.0017786221592874672
topic 1,system,0.014472453712286873
topic 1,understand,0.00152709509115979
topic 1,worldwide,5.680716818231069e-4
topic 1,additional,4.245031891219336e-4
topic 1,affect,0.0021478289284879953
topic 1,agreement,1.1405550756500862e-4
topic 1,aim,1.8505613031307997e-4
topic 1,analysis,8.826458545776289e-4
topic 1,apply,0.0010186606648561935
topic 1,approach,0.0010325653583526369
topic 1,aspect,2.445638065665542e-4
topic 1,common,6.330221454466262e-4
topic 1,community,0.0031433033100459833
topic 1,conflict,2.9678002513376574e-4
topic 1,connect,0.001214468962090621
topic 1,conservation,0.002609437064229029
topic 1,development,0.0012285773911599413
topic 1,difference,9.545434381025214e-4
topic 1,economic,0.002915388236633652
topic 1,effect,0.002262612637489601
topic 1,environment,0.0017678468565697795
topic 1,examine,0.0010406277116696882
topic 1,explore,0.0012360687072390235
topic 1,finding,8.332068460753297e-4
topic 1,future,0.0011034115801974776
topic 1,ground,8.401887515712104e-4
topic 1,implication,0.0012279237252453038
topic 1,influence,0.002389510745523091
topic 1,institution,0.0015874872053127892
topic 1,involve,5.437967653315882e-4
topic 1,knowledge,0.0013098948668684711
topic 1,mountain,0.0027158678908005864
topic 1,natural,0.002624985142097877
topic 1,objective,8.011801803387055e-4
topic 1,perceive,0.0010736145525938301
topic 1,perception,6.586186761280827e-4
topic 1,plan,5.874218932333175e-4
topic 1,planning,6.240384754232752e-4
topic 1,policy,0.0034361131493078753
topic 1,positive,4.6386857293830117e-4
topic 1,potential,6.322009328512033e-4
topic 1,property,8.445797550013175e-4
topic 1,require,0.0010433401996448857
topic 1,resident,2.4669352286856944e-4
topic 1,result,0.004619882387437522
topic 1,seasonality,1.4116225338098318e-4
topic 1,sector,8.122328186980598e-4
topic 1,ses,6.64891576339407e-4
topic 1,significantly,6.449927780253165e-4
topic 1,socio,0.0015579327642066129
topic 1,stakeholder,3.926931459981932e-4
topic 1,suggest,0.0010923126074523022
topic 1,sustainable,9.077750639709921e-4
topic 1,tourism,4.305123083068564e-4
topic 1,winter,9.313768711077656e-4
topic 1,address,0.00110568510020693
topic 1,agency,4.170516073039376e-4
topic 1,benefit,0.002665447422249399
topic 1,broad,8.341551986256761e-4
topic 1,building,1.875354543081886e-4
topic 1,call,2.462540651457421e-4
topic 1,capacity,2.003828767772068e-4
topic 1,category,1.380379490769282e-4
topic 1,challenge,9.524712235651968e-4
topic 1,collaboration,2.0256000982745071e-4
topic 1,complexity,3.792947564526136e-4
topic 1,critical,0.0010808422622611985
topic 1,datum,0.002248055313511126
topic 1,decision,0.002696582619033728
topic 1,dependent,7.350035544515979e-4
topic 1,develop,0.0012211797475086099
topic 1,effort,5.643644285339678e-4
topic 1,government,7.241841513019268e-4
topic 1,governmental,1.5999948869972584e-4
topic 1,growth,5.326016620055537e-4
topic 1,holistic,6.329157806617412e-4
topic 1,identify,0.0018156187135387341
topic 1,indigenous,2.2311251292131754e-4
topic 1,information,9.84974833972077e-4
topic 1,integrate,4.4012348519701337e-4
topic 1,national,2.0385869968024336e-4
topic 1,nature,4.4424416658729577e-4
topic 1,opportunity,5.979533561465506e-4
topic 1,organization,1.5806458547493443e-4
topic 1,paper,7.156890865991797e-4
topic 1,region,0.004140885771276203
topic 1,review,5.779928781363216e-4
topic 1,sharing,1.9057139942669325e-4
topic 1,sustainability,0.0010138596216645369
topic 1,sustained,1.1055884227175681e-4
topic 1,term,0.002274706853528815
topic 1,understanding,0.0014708217211535808
topic 1,western,0.0014078218201516721
topic 1,adaptive,0.001098140119964095
topic 1,base,0.0051498154862001655
topic 1,collective,2.0413367116989983e-4
topic 1,complex,0.0013784299009943334
topic 1,continue,7.794342130477851e-4
topic 1,control,0.001091194950611471
topic 1,document,2.2936857296137906e-4
topic 1,domain,2.203282279885205e-4
topic 1,drive,0.0016205727705750328
topic 1,dynamic,0.0028257725257104078
topic 1,emerge,4.7358069970795925e-4
topic 1,engage,1.1786556328854321e-4
topic 1,explain,4.5868993733576936e-4
topic 1,feedback,0.0012390407694616483
topic 1,framework,0.0011333098497119803
topic 1,groundwater,0.0035267751093288036
topic 1,highly,5.130379619093559e-4
topic 1,interaction,8.200345281224596e-4
topic 1,interview,0.002068554200487003
topic 1,key,0.0014736045692911057
topic 1,legal,1.3019687764199365e-4
topic 1,link,4.307665246667903e-4
topic 1,loop,3.5238882465992154e-4
topic 1,management,0.015064299317410245
topic 1,method,4.138270217426739e-4
topic 1,multiple,7.962262065670564e-4
topic 1,network,6.979075401685834e-4
