topic,term,prob
topic 1,boundary,0.002751289205307642
topic 1,change,0.002646628790512649
topic 1,conclude,6.824540682372434e-4
topic 1,confirm,3.905718350727084e-4
topic 1,coupled,1.5042390289651144e-4
topic 1,coupling,3.569279902470769e-4
topic 1,cultural,3.5180662071851334e-4
topic 1,current,0.0017115355325060002
topic 1,decline,1.105599427701106e-4
topic 1,demonstrate,6.54562007426863e-4
topic 1,ecological,0.01123023731011981
topic 1,ecosystem,0.0029802119017519274
topic 1,elsevi,0.0010469236247693285
topic 1,environmental,0.0031772057984864005
topic 1,food,0.0017868049314818855
topic 1,functional,3.1261315329552276e-4
topic 1,generation,1.3770589712183034e-4
topic 1,geographical,4.1911723703763517e-4
topic 1,global,2.3743269324548192e-4
topic 1,highlight,0.0011974348993153065
topic 1,human,0.002182403740063538
topic 1,impact,0.0023758783070234675
topic 1,include,0.0014146245538404617
topic 1,income,1.0284396749945626e-4
topic 1,issue,0.001712790725126818
topic 1,lack,0.001979168249070844
topic 1,light,1.6173272149803657e-4
topic 1,local,0.0037169807370100926
topic 1,multi,0.0012778356417900059
topic 1,pathway,1.918073369021285e-4
topic 1,pattern,5.885694039216647e-4
topic 1,people,7.973493202603522e-4
topic 1,provide,0.0025718047469030156
topic 1,relationship,0.0011831279840518517
topic 1,reserve,5.245796510785603e-4
topic 1,resource,0.028696486871876533
topic 1,reveal,0.0018407048468274802
topic 1,role,0.002603844631696456
topic 1,scale,0.005920801370570263
topic 1,security,7.969009027118462e-4
topic 1,social,0.016877599862107413
topic 1,source,0.0010785723389085602
topic 1,study,0.006578033228108244
topic 1,support,0.0025176538448121975
topic 1,system,0.017018020884427377
topic 1,underscore,1.3148819221268658e-4
topic 1,understand,9.958452515938482e-4
topic 1,unique,2.1337609047352107e-4
topic 1,wellbeing,1.0006767505448429e-4
topic 1,worldwide,1.813673001932681e-4
topic 1,affect,0.0013592298971037526
topic 1,agreement,1.295420194646603e-4
topic 1,aim,0.0017533554738734369
topic 1,analysis,0.005989309371174443
topic 1,apply,0.002002573843872493
topic 1,approach,0.005189524561694622
topic 1,aspect,7.780884095122453e-4
topic 1,common,0.005779741587458226
topic 1,community,0.003641180012086134
topic 1,conflict,0.004351119108474504
topic 1,connect,9.52580648107689e-4
topic 1,conservation,6.008846808040008e-4
topic 1,development,0.0043572418910603275
topic 1,difference,4.158464528993183e-4
topic 1,discuss,4.1471735905884553e-4
topic 1,economic,0.004755617313151095
topic 1,effect,6.094043179509861e-4
topic 1,environment,7.22629434358736e-4
topic 1,examine,0.0029847965697067072
topic 1,explore,0.0014202642757889618
topic 1,finding,0.0012974059958447486
topic 1,future,0.0012024354591804285
topic 1,ground,1.034491175275851e-4
topic 1,implication,5.647027270721247e-4
topic 1,influence,0.0013030521983637832
topic 1,institution,0.0013266033210673736
topic 1,involve,0.0012475161184262416
topic 1,knowledge,0.001012698122046462
topic 1,methodology,6.496009066929013e-4
topic 1,natural,0.0021915622980570914
topic 1,objective,7.149656188009737e-4
topic 1,plan,5.500064128737041e-4
topic 1,planning,5.900648268088102e-4
topic 1,policy,0.00597666864361122
topic 1,positive,6.636436231237244e-4
topic 1,potential,0.001892863655662676
topic 1,property,7.621867536159137e-4
topic 1,require,8.023000667687109e-4
topic 1,result,0.0070947300857607835
topic 1,sector,0.0012347046670828433
topic 1,ses,0.0019229381246415479
topic 1,socio,0.002782050149701913
topic 1,solve,5.388578670778026e-4
topic 1,stakeholder,0.003321063110953576
topic 1,suggest,0.0017765898292989926
topic 1,sustainable,0.0048303539477225705
topic 1,technology,7.582324681927696e-4
topic 1,tourism,9.522115019715449e-4
topic 1,address,0.003392821084325262
topic 1,agenda,3.3621207602925766e-4
topic 1,benefit,0.0031549684039630073
topic 1,broad,3.483201818287904e-4
topic 1,building,3.72954404392172e-4
topic 1,call,3.829508986981943e-4
topic 1,capacity,0.002879440025424981
topic 1,challenge,0.0038558443391889523
topic 1,coastal,2.1154865231444258e-4
topic 1,collaboration,7.420534581310216e-4
topic 1,complexity,9.959804191879767e-4
topic 1,coordinated,2.3073442873898677e-4
topic 1,critical,6.57981125262585e-4
topic 1,datum,0.0021779990447345255
topic 1,decision,0.0027485044433613695
topic 1,dependent,9.332474935135541e-4
topic 1,develop,0.0019224021979467657
topic 1,effort,6.360565441262897e-4
topic 1,governance,0.01307131860700249
topic 1,government,0.002238843925763029
topic 1,identify,0.0034707802366408516
topic 1,information,9.267244769154324e-4
topic 1,integrate,0.0031115972416717063
topic 1,involvement,5.031739234096192e-4
topic 1,national,7.655927405778234e-4
topic 1,nature,5.822280161261909e-4
topic 1,ocean,3.421812658973358e-4
topic 1,opportunity,5.670995537038938e-4
topic 1,organization,0.0013801866901474867
topic 1,paper,0.002606251859690599
topic 1,region,0.003098395951673444
topic 1,review,1.6545486614633645e-4
topic 1,sharing,2.6101094599737754e-4
topic 1,sustainability,0.0036187021672490108
topic 1,sustained,1.7525056841329655e-4
topic 1,term,8.781872566967478e-4
topic 1,undermine,1.2900358541044382e-4
topic 1,understanding,6.054410472036752e-4
topic 1,western,1.6698309391149061e-4
topic 1,authority,5.41018715190267e-4
topic 1,base,0.003359229664978189
topic 1,biophysical,0.0011395436431104878
topic 1,collective,0.0047519861346775275
topic 1,compete,3.500402361203127e-4
topic 1,complex,0.002043994070622259
topic 1,contest,2.363475783308884e-4
topic 1,continue,5.25590940106652e-4
topic 1,control,0.001043835468203512
topic 1,dispute,1.2373053599922155e-4
topic 1,document,2.7871654657577187e-4
topic 1,drive,3.7264911648667633e-4
topic 1,dynamic,0.0012383883151784823
topic 1,emerge,9.286610996539216e-4
topic 1,emergence,2.9946325140872265e-4
topic 1,engage,5.864501624795943e-4
topic 1,explain,9.842216411110702e-4
topic 1,extract,2.557992354036341e-4
topic 1,feedback,1.788688279013577e-4
topic 1,framework,0.007455576411344223
topic 1,groundwater,0.004638773573885763
topic 1,interaction,0.0020396170015573745
topic 1,interview,0.0016599338414481583
topic 1,key,0.002272616397679513
topic 1,lake,5.615396067672669e-4
topic 1,leadership,6.193580724451365e-4
topic 1,legal,7.979740337154954e-4
topic 1,legitimacy,1.3631291102158974e-4
topic 1,lens,3.7735664524331974e-4
topic 1,link,7.652588626622731e-4
topic 1,loop,1.9050894266423485e-4
topic 1,lsgw,2.5428472240371147e-4
topic 1,management,0.012830337435041892
topic 1,method,0.0018608632202561854
topic 1,multiple,0.002168193142095416
topic 1,municipal,2.462135184911379e-4
topic 1,network,0.003494921514150282
topic 1,operate,4.4773942087316537e-4
topic 1,participatory,6.080648813505914e-4
topic 1,process,0.001420234078214018
topic 1,qualitative,0.0010398379472648385
topic 1,regulatory,5.422904182303807e-4
topic 1,resolution,9.146866505827663e-4
topic 1,resolve,2.4028894151853725e-4
topic 1,surface,2.3983713169827082e-4
topic 1,surround,2.1963147057926867e-4
topic 1,theoretical,2.0777972878506163e-4
topic 1,threaten,3.385696179591662e-4
topic 1,uncertainty,0.0019840779357624227
topic 1,utilize,4.216252029654252e-4
topic 1,variable,0.0030367701272738423
topic 1,water,0.059278845773336926
topic 1,watershed,0.0025483891667465223
topic 1,wisconsin,1.907052549352939e-4
topic 1,accelerated,1.5579222770419686e-4
topic 1,agrarian,5.515759092074786e-4
topic 1,agrobiodiverse,1.2714236111194407e-4
topic 1,cascade,4.4479406737195934e-4
topic 1,characteristic,0.0010573168100104116
topic 1,combine,0.0011070944814581373
topic 1,conclusion,1.5450516176073324e-4
topic 1,consumption,7.026899077532419e-4
topic 1,crop,3.3417344643826114e-4
topic 1,element,9.055126357379575e-4
topic 1,embeddedness,1.197815592569885e-4
topic 1,entanglement,4.4499826419357153e-4
topic 1,extend,3.9012829111248986e-4
topic 1,extra,1.4774825221026231e-4
topic 1,farmer,0.0030418950802035
topic 1,function,8.327176931821194e-4
topic 1,infrastructure,0.001686835536534183
topic 1,intensify,3.8152223312182634e-4
topic 1,irrigation,0.0038848420700918953
topic 1,level,0.0042735195222826546
topic 1,meaning,1.8661113112105362e-4
topic 1,migration,4.204910896207362e-4
topic 1,moderate,2.8031882888864874e-4
topic 1,peasant,1.7691904022793352e-4
topic 1,period,2.780363420959959e-4
topic 1,political,0.001768305189269525
topic 1,power,6.239760019159176e-4
topic 1,powerful,1.8003534001508455e-4
topic 1,production,0.0010798361206173428
topic 1,question,7.64963359753979e-4
topic 1,recent,5.127826024905595e-4
topic 1,reduce,0.0014840598469400338
topic 1,road,1.271423611401033e-4
topic 1,smallholder,8.575727305406724e-4
topic 1,survey,0.0010585333084191062
topic 1,undertake,2.0586950873947296e-4
topic 1,utilization,5.24447159441889e-4
topic 1,action,0.004271720867683516
topic 1,analyse,0.0013035006613845554
topic 1,article,0.0015500384354914698
topic 1,assess,0.002144767032532457
topic 1,body,2.2182792643704358e-4
topic 1,bridge,4.2432200192717465e-4
topic 1,central,6.317666747902025e-4
topic 1,comparative,4.884186533879079e-4
topic 1,conceptualization,3.394890436965602e-4
topic 1,conduct,0.0010201208047779613
topic 1,derive,3.084862328850167e-4
topic 1,diagnostic,5.046996532654005e-4
topic 1,empirical,5.90938959037754e-4
topic 1,feature,4.5153384405163317e-4
topic 1,field,2.1026915640344056e-4
topic 1,grow,9.073094493236918e-4
topic 1,increasingly,3.210141233414236e-4
topic 1,partly,2.0886386614299565e-4
topic 1,path,1.9210990537132556e-4
topic 1,recently,3.283709778495721e-4
topic 1,research,0.0031296260135792705
topic 1,shape,3.436171880152708e-4
topic 1,situation,0.0014211293681359344
topic 1,structure,0.0012103062305257315
topic 1,systematic,4.535024264511222e-4
topic 1,unit,8.069459072546468e-4
topic 1,adapt,2.3647400337292499e-4
topic 1,adopt,4.463420334508772e-4
topic 1,analytical,6.369453078956058e-4
topic 1,assessment,0.0019309949371111503
topic 1,asset,0.0017818174825739766
topic 1,awareness,1.6032024292653288e-4
topic 1,balance,3.25015230725227e-4
topic 1,china,9.034383434461643e-4
topic 1,choice,5.739525754044641e-4
topic 1,collection,9.682269741005436e-4
topic 1,cultivate,2.375603006429205e-4
topic 1,decrease,7.626144184158816e-4
topic 1,due,0.0013369628766357106
topic 1,effective,0.0023766452777635423
topic 1,facilitate,8.58101095048516e-4
topic 1,factor,0.003200032652898087
topic 1,focus,5.373565083290141e-4
topic 1,guide,5.530150594690189e-4
topic 1,household,3.8229081114534894e-4
topic 1,improve,0.003389182266367118
topic 1,limit,2.941212998730676e-4
topic 1,livelihood,0.0023982599904258644
topic 1,loss,4.1934900067108413e-4
topic 1,low,5.818909150315471e-4
topic 1,market,9.450119853655228e-4
topic 1,measure,0.002601110899149311
topic 1,oasis,4.0294026785849094e-4
topic 1,outcome,0.0034116418548434117
topic 1,poor,4.4974536445732205e-4
topic 1,pressure,7.682600054191119e-4
topic 1,reference,3.6359846657717216e-4
topic 1,reform,3.437057923170932e-4
topic 1,regional,0.00189387916178916
topic 1,represent,4.849958974934259e-4
topic 1,scarcity,0.002186745975114189
topic 1,semi,9.069013554072428e-4
topic 1,strategy,2.9833464109730836e-4
topic 1,structured,3.574910757801402e-4
topic 1,variety,2.7870985152412685e-4
topic 1,achieve,0.0018838501417015423
topic 1,analyze,0.0029103062962939413
topic 1,arid,0.0015075408608121305
topic 1,associate,0.0011447059756442947
topic 1,concept,0.0015181865005056533
topic 1,demand,0.0029061556864992985
topic 1,elucidate,3.7052715247789327e-4
topic 1,emphasize,2.0860319427885857e-4
topic 1,expansion,3.215179088908005e-4
topic 1,follow,7.363347219704593e-4
topic 1,goal,0.002664556886413309
topic 1,increase,0.0037800330016525634
topic 1,limited,6.463251067568013e-4
topic 1,linkage,1.1299361625060143e-4
topic 1,northwest,2.1462744477629376e-4
topic 1,occur,1.4304548193874993e-4
topic 1,potentially,2.1086261462717246e-4
topic 1,prevent,1.8918790864280697e-4
topic 1,province,1.2336200071239275e-4
topic 1,provision,6.699411959279832e-4
topic 1,sdg,0.0012908721375913831
topic 1,sdgs,1.898077592343407e-4
topic 1,service,0.0026093490308530514
topic 1,specific,3.4160425029261456e-4
topic 1,supply,0.0049079418141735566
topic 1,tool,0.0012489936554941992
topic 1,trend,6.554337242294836e-4
topic 1,typical,2.402778583332923e-4
topic 1,access,9.443521476819227e-4
topic 1,actor,0.0029140818594951025
topic 1,basin,0.007370189241040115
topic 1,century,1.9456227678853397e-4
topic 1,content,2.950714471168097e-4
topic 1,context,0.0036532236222804647
topic 1,country,8.184251916678801e-4
topic 1,create,4.501502230317419e-4
topic 1,driver,9.619394475904012e-4
topic 1,efficient,4.153919620278418e-4
topic 1,ensure,7.889798479420295e-4
topic 1,equitable,2.343910379878314e-4
topic 1,exist,7.794565420820614e-4
topic 1,focal,2.197104983975625e-4
topic 1,freshwater,0.0024130252830495413
topic 1,fundamental,2.2582925837891327e-4
topic 1,hydro,1.261197162344322e-4
topic 1,insight,3.532264842813973e-4
topic 1,international,5.102825921118751e-4
topic 1,investigate,3.792403007654907e-4
topic 1,model,0.0020041929579683623
topic 1,object,3.0390734075088846e-4
topic 1,perspective,0.00213947999881492
topic 1,planet,2.541895747861374e-4
topic 1,priority,8.874020434636591e-4
topic 1,relate,0.002104592157237182
topic 1,river,0.005299313134394252
topic 1,share,0.0014423027596340212
topic 1,shed,2.396790304349972e-4
topic 1,socially,2.4261436742314211e-4
topic 1,socioeconomic,0.001361205241886297
topic 1,valuable,2.7537174622557477e-4
topic 1,vulnerability,1.617653648372541e-4
topic 1,complement,2.4568488567392545e-4
topic 1,contribute,0.0012131411807164666
topic 1,corruption,1.9071354180277193e-4
topic 1,description,2.1499572006730347e-4
topic 1,dominant,2.058308367411431e-4
topic 1,equity,6.50165951175901e-4
topic 1,feasibility,1.8586218923696436e-4
topic 1,finally,4.964935403074682e-4
topic 1,frame,4.098620137586933e-4
topic 1,implement,0.0013017511995257417
topic 1,inaction,1.2714236108556817e-4
topic 1,iran,3.04861486255078e-4
topic 1,main,7.965501958841949e-4
topic 1,obtain,6.946574686846439e-4
topic 1,plain,3.234563042220482e-4
topic 1,pursue,1.62232597909487e-4
topic 1,rafsanjan,1.9071354180278345e-4
topic 1,realistic,1.1767707721911826e-4
topic 1,reason,2.651481354967568e-4
topic 1,regulation,6.26573220598568e-4
topic 1,relation,0.0013726931224024971
topic 1,society,3.7662972524386384e-4
topic 1,technological,2.0142186407883593e-4
topic 1,transition,1.0847799746032537e-4
topic 1,user,0.003895696592612504
topic 1,viewpoint,1.2494874726062387e-4
topic 1,alternative,2.20377316081671e-4
