topic,term,prob
topic 1,land,0.019176424857009503
topic 1,management,0.015064299317410245
topic 1,system,0.014472453712286873
topic 1,grazing,0.014060069141870907
topic 1,rangeland,0.01329245566842632
topic 1,livestock,0.010784271041431443
topic 1,change,0.010016931633641203
topic 1,ecological,0.009338090865997616
topic 1,social,0.008769518821283032
topic 1,ecosystem,0.006998826143090388
topic 1,study,0.00679933808618148
topic 1,graze,0.006704115184563416
topic 1,pastoral,0.006097090620771272
topic 1,water,0.006081676133942208
topic 1,soil,0.005953828803785931
topic 1,service,0.005776063507511254
topic 1,base,0.0051498154862001655
topic 1,vegetation,0.005145629096270698
topic 1,increase,0.004957240514666263
topic 1,wetland,0.004795836118384083
topic 10,community,0.02339717818216028
topic 10,resource,0.016530905539748914
topic 10,social,0.012914499905736784
topic 10,ecological,0.011124680075141023
topic 10,conservation,0.010202747408031468
topic 10,local,0.010079201569903566
topic 10,change,0.008941937769655977
topic 10,system,0.008150637816362154
topic 10,household,0.007527734442357089
topic 10,livelihood,0.007081055656802138
topic 10,ecosystem,0.006953044051551033
topic 10,coastal,0.006460683874077216
topic 10,people,0.006379072851173585
topic 10,service,0.006222450891756826
topic 10,result,0.006135037406212527
topic 10,study,0.005860677576858633
topic 10,protect,0.005549374451648395
topic 10,population,0.005413421006622449
topic 10,indigenous,0.005335260710928267
topic 10,fish,0.005200932307977095
topic 2,social,0.021665272051528905
topic 2,governance,0.018811299644963225
topic 2,management,0.01870558616068458
topic 2,ecological,0.014317239961353187
topic 2,resource,0.013540852707207094
topic 2,system,0.013248939851467238
topic 2,conservation,0.010432569231121118
topic 2,marine,0.009812900206679985
topic 2,mpa,0.00865977515575976
topic 2,institutional,0.008087767168550175
topic 2,study,0.007836167479272396
topic 2,community,0.0077839126483948235
topic 2,research,0.007728868257088054
topic 2,process,0.007231729795537364
topic 2,stakeholder,0.007042672657366607
topic 2,local,0.006433192017647448
topic 2,network,0.006212133406264273
topic 2,scale,0.005952508133268778
topic 2,protect,0.005740311992265425
topic 2,approach,0.005647288030985878
topic 3,water,0.046374927000987616
topic 3,system,0.01875283445298812
topic 3,resource,0.014914648988105907
topic 3,irrigation,0.013840050541725303
topic 3,farmer,0.013075025647906913
topic 3,social,0.010878425514473013
topic 3,ecological,0.010652059662093701
topic 3,study,0.009692285796073279
topic 3,change,0.008305625526355722
topic 3,result,0.0068738888316750004
topic 3,increase,0.006791240676670858
topic 3,economic,0.006542411935879032
topic 3,policy,0.006392562913705771
topic 3,farm,0.005976241362799681
topic 3,river,0.005799202072156761
topic 3,infrastructure,0.00578255999435704
topic 3,basin,0.00562560067295699
topic 3,agricultural,0.00543785645016103
topic 3,china,0.005269869213946787
topic 3,capacity,0.005080358641285118
topic 4,fishery,0.05208720171148536
topic 4,fishing,0.022537772693049754
topic 4,management,0.020363249560865142
topic 4,fisher,0.01698598353692623
topic 4,social,0.012153189079572349
topic 4,fish,0.012131232000853087
topic 4,ecosystem,0.011213513439646895
topic 4,ecological,0.010878011927048849
topic 4,coastal,0.009971320038221293
