topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
4.993708708956208e-4,4.993708711639371e-4,4.993708709404852e-4,0.6018443622403363,4.993708710362369e-4,0.39416067079150835,4.993708711167397e-4,4.993708710466833e-4,4.99370870986379e-4,4.993708709692609e-4,text1
3.613903301896846e-4,3.6139033029457946e-4,3.6139033005484967e-4,3.613903302185788e-4,0.403033506722761,3.613903300900709e-4,3.6139033013598914e-4,0.35861320181843764,3.613903302112004e-4,0.23582355914760644,text10
4.570654734283708e-4,0.6756631739989313,4.570654735295304e-4,0.320680302212673,4.570654735885615e-4,4.5706547358343895e-4,4.570654736129745e-4,4.570654735579147e-4,4.570654735228826e-4,4.570654735720824e-4,text100
2.850225874017566e-4,0.4071482166726769,0.07708387208617244,2.8502258728771267e-4,0.11768357901603853,0.3963741967009675,2.850225874493875e-4,2.850225874105281e-4,2.8502258728718536e-4,2.8502258730810233e-4,text1000
3.0091992423800175e-4,3.0091992429886723e-4,0.14758067625033822,3.00919924189886e-4,3.0091992422800237e-4,3.0091992428403437e-4,3.0091992428574876e-4,3.0091992428914974e-4,3.0091992422494194e-4,0.8500119643556231,text1001
4.1329850917175677e-4,0.99628031341645,4.1329850917575775e-4,4.132985094886228e-4,4.1329850931973053e-4,4.132985092321847e-4,4.132985092791483e-4,4.132985094253378e-4,4.1329850920168715e-4,4.1329850925581947e-4,text1002
2.488671438584724e-4,2.488671439113629e-4,0.5957610731380921,2.4886714386206435e-4,2.4886714387484135e-4,0.4022479897106729,2.48867143952879e-4,2.4886714394103894e-4,2.488671438957061e-4,2.4886714393867673e-4,text1003
0.4417860344742815,2.547424852561278e-4,2.5474248538328513e-4,2.547424852681719e-4,2.547424853381182e-4,2.547424853380857e-4,0.5561760256431223,2.547424853227658e-4,2.5474248539595517e-4,2.547424852936593e-4,text1004
2.8130728275340165e-4,0.6978279368163611,0.10123121184006277,2.813072827380347e-4,2.813072829484695e-4,2.8130728291071635e-4,0.19897170036378628,2.81307282859378e-4,2.813072828610654e-4,2.813072827188159e-4,text1005
0.579166606216658,0.4181237722656358,3.3870268981268557e-4,3.387026896756799e-4,3.3870268972484145e-4,3.387026896863063e-4,3.387026897665992e-4,3.38702689790295e-4,3.3870268959719984e-4,3.3870268965251356e-4,text1006
0.1482573222684182,3.1178882602880657e-4,0.5159037993089991,3.1178882636626634e-4,0.06506755810431783,3.117888261943047e-4,3.1178882615885125e-4,3.117888260510881e-4,3.1178882617276677e-4,0.2689005873612928,text1007
4.05532047931917e-4,4.05532048065537e-4,0.9062237642422881,4.0553204797004564e-4,0.09053197937375276,4.055320480223887e-4,4.055320480048732e-4,4.0553204799480974e-4,4.055320479394403e-4,4.055320480301361e-4,text1008
2.532477950071655e-4,2.532477949990589e-4,0.7235279756198318,2.5324779508124765e-4,2.5324779502538153e-4,2.532477949791925e-4,2.532477950346782e-4,0.21482592860432392,0.059873361210651406,2.532477950662208e-4,text1009
4.017572553954822e-4,4.017572557703691e-4,4.017572555069151e-4,0.2473482126430226,4.01757255624608e-4,4.017572556718298e-4,4.0175725566524823e-4,4.0175725547799166e-4,4.01757255377254e-4,0.7494377293124876,text101
2.547424853025781e-4,2.5474248530249195e-4,0.3746782267931323,2.5474248531229135e-4,2.5474248529624326e-4,0.19374610594174246,0.36187875155635424,2.547424853087355e-4,2.5474248527960537e-4,0.06816846079696913,text1010
3.095526844842428e-4,3.0955268459031206e-4,0.11494822059693276,3.0955268458959464e-4,0.7270834779090153,0.15580143270217087,3.0955268459763964e-4,3.095526846016396e-4,3.095526844780499e-4,3.0955268453961514e-4,text1011
2.4463546794732145e-4,2.446354679484765e-4,0.8130511352074286,2.4463546791335595e-4,0.10231044425308465,2.446354678850069e-4,0.0829259722639602,2.446354678878961e-4,2.446354679181023e-4,2.446354680263578e-4,text1012
2.7768759078837193e-4,2.776875908406686e-4,0.9975008116828292,2.776875907163845e-4,2.776875907647782e-4,2.7768759088984995e-4,2.7768759082710207e-4,2.776875908025118e-4,2.776875907513421e-4,2.7768759078985095e-4,text1013
2.517705423531546e-4,0.1631196011348933,2.517705423712221e-4,2.517705423688358e-4,2.5177054238252703e-4,0.06404714087661749,0.7710708641919649,2.517705423597227e-4,2.5177054232834246e-4,2.5177054236059324e-4,text1014
2.609019484502743e-4,2.6090194853927134e-4,2.6090194846611474e-4,2.6090194840676286e-4,2.609019484668419e-4,0.318549062137579,0.6793637222748122,2.609019484766596e-4,2.6090194840069285e-4,2.609019484021913e-4,text1015
3.413816294839235e-4,0.16090581549904262,0.26947156427534674,3.413816294477813e-4,3.4138162950984467e-4,3.41381629602473e-4,3.413816296023749e-4,3.4138162961508086e-4,3.4138162962362605e-4,0.5672329488187255,text1016
2.927555987808144e-4,2.9275559881026305e-4,0.824377096898756,2.927555987364307e-4,2.9275559877903483e-4,2.927555987482021e-4,0.02858215365976253,2.927555987337291e-4,2.927555988073052e-4,0.14499146025008566,text1017
2.967816228146932e-4,2.967816230001304e-4,2.967816229380392e-4,2.967816228144478e-4,2.9678162282264586e-4,2.967816228213779e-4,0.9973289653942581,2.967816228920239e-4,2.967816228080818e-4,2.967816228304656e-4,text1018
0.04187218997858042,2.562549240475745e-4,2.5625492402081107e-4,2.562549239755239e-4,2.5625492396765724e-4,2.5625492399215376e-4,0.25105108897477174,0.2058947326551687,2.562549240453676e-4,0.4996444588474301,text1019
4.475858962452337e-4,0.45948299695557904,4.4758589615499664e-4,4.4758589633524763e-4,4.4758589615389417e-4,4.4758589614475944e-4,4.475858961735013e-4,4.4758589615249576e-4,4.4758589615284813e-4,0.536936315874908,text102
0.1567733072466811,2.1972751516311705e-4,0.24175745589847294,2.197275151758455e-4,2.1972751524380204e-4,0.5999311442485009,2.19727515241858e-4,2.1972751512379133e-4,2.1972751517700256e-4,2.1972751521960704e-4,text1020
0.5149174222190352,3.334689964096891e-4,3.334689963538226e-4,3.334689963453138e-4,3.334689964507326e-4,0.2416417452315066,3.33468996305988e-4,0.24110654957486213,3.3346899634636236e-4,3.334689963840211e-4,text1021
0.06569578283463143,3.5838953728652904e-4,0.5488955067764337,3.5838953713237414e-4,3.5838953724048645e-4,3.583895372234032e-4,3.583895372713229e-4,0.3828999836285856,3.5838953713511555e-4,3.583895370600362e-4,text1022
3.05175266018453e-4,3.0517526598937433e-4,0.9072498618057285,3.051752660393456e-4,3.051752659857356e-4,3.051752661529679e-4,3.051752660664463e-4,3.05175265995406e-4,0.09030873606606982,3.0517526595394954e-4,text1023
2.609019484705042e-4,2.6090194860681096e-4,0.15773134074725273,2.609019484483451e-4,2.609019484894927e-4,0.12765829685394192,2.609019485871191e-4,2.6090194856392214e-4,0.4031522530698993,0.3098926976377398,text1024
2.657206277643384e-4,2.6572062772503737e-4,0.14515302059724475,2.6572062764971464e-4,2.657206277242785e-4,0.05915989670757939,0.12221340465240395,2.657206277976623e-4,2.657206277426147e-4,0.6718793542763682,text1025
2.6736665371852604e-4,2.673666536445025e-4,2.6736665375272855e-4,2.6736665369304577e-4,2.673666536300165e-4,0.9116327410185938,2.673666536560353e-4,2.673666536115372e-4,0.08622832575194013,2.6736665375970317e-4,text1026
2.947548636898234e-4,0.8399356878540651,0.1577062732363502,2.9475486364069313e-4,2.947548637892048e-4,2.9475486368384167e-4,2.947548636800703e-4,2.9475486378365874e-4,2.9475486365453845e-4,2.9475486366297967e-4,text1027
3.7070198479827296e-4,0.32725366862288546,0.6697807154988417,3.7070198467925667e-4,3.707019847404638e-4,3.7070198491734834e-4,3.707019848265446e-4,3.7070198482459435e-4,3.7070198476592335e-4,3.7070198472047305e-4,text1028
3.210660731001482e-4,0.1550021905974284,0.15880160004059288,3.210660731222597e-4,0.6839487468497383,3.210660731942317e-4,3.210660732658444e-4,3.210660732471994e-4,3.2106607322138637e-4,3.210660730893671e-4,text1029
3.9441463766222125e-4,3.9441463776800756e-4,0.4738825964569085,0.5229620864411066,3.944146377455419e-4,3.9441463786279426e-4,3.944146377435757e-4,3.9441463774403526e-4,3.9441463770318355e-4,3.9441463775550893e-4,text103
3.7070198474066957e-4,3.7070198487228944e-4,3.7070198473084095e-4,3.707019846985311e-4,3.7070198478866443e-4,3.707019847572145e-4,3.7070198482800883e-4,0.9966636821372418,3.7070198464470505e-4,3.707019846972296e-4,text1030
2.673666537029102e-4,0.2686159231766909,0.16835532841593437,2.673666537005543e-4,0.4001369119601448,2.673666537159258e-4,0.1612876365250449,2.6736665365309265e-4,2.67366653661566e-4,2.673666537508936e-4,text1031
0.703546653257532,2.813072828014728e-4,2.813072829014939e-4,2.813072827197256e-4,2.813072829219476e-4,2.813072829684988e-4,0.2942028884797538,2.813072828614274e-4,2.813072828053522e-4,2.813072827343053e-4,text1032
3.259148559993685e-4,0.4805543951144369,0.030248909872376162,3.259148560445239e-4,0.4703377530598611,3.259148562928358e-4,3.2591485610955235e-4,0.01690345281660659,3.2591485618645703e-4,3.259148560864268e-4,text1033
2.5625492402177357e-4,2.5625492396953194e-4,2.5625492400141984e-4,2.5625492389108785e-4,0.021027961446460942,0.3381757835137581,2.5625492404356663e-4,2.562549240293038e-4,0.6390024705719712,2.5625492385294773e-4,text1034
2.8315274822297213e-4,2.831527482487488e-4,0.7929685079849125,2.831527482632787e-4,2.831527483303762e-4,2.831527482829182e-4,0.20476627002907344,2.831527482594684e-4,2.831527481818577e-4,2.831527482245873e-4,text1035
